_id,symbol,date,open,high,low,close,volume
673a2c9aefe55bc7144a73c5,GOOGL,2024-11-15,173.7300,174.1400,171.2200,172.4900,32504649
673a2c9aefe55bc7144a73c6,GOOGL,2024-11-14,178.2800,178.8200,174.3218,175.5800,31007457
673a2c9aefe55bc7144a73c7,GOOGL,2024-11-13,180.4600,180.9600,178.5400,178.8800,23184003
673a2c9aefe55bc7144a73c8,GOOGL,2024-11-12,179.8200,182.4900,179.3900,181.6200,25134905
673a2c9aefe55bc7144a73c9,GOOGL,2024-11-11,178.5800,180.5450,178.4700,180.3500,17450354
673a2c9aefe55bc7144a73ca,GOOGL,2024-11-08,180.6450,180.9000,178.0800,178.3500,22006182
673a2c9aefe55bc7144a73cb,GOOGL,2024-11-07,177.4100,181.0800,177.1900,180.7500,25352939
673a2c9aefe55bc7144a73cc,GOOGL,2024-11-06,173.8000,176.9400,173.5000,176.5100,33695538
673a2c9aefe55bc7144a73cd,GOOGL,2024-11-05,169.4300,170.5300,168.8400,169.7400,18242050
673a2c9aefe55bc7144a73ce,GOOGL,2024-11-04,169.9300,170.7300,168.0110,169.2400,21492744
673a2c9aefe55bc7144a73cf,AMZN,2024-11-15,206.7600,207.3400,199.6100,202.6100,86591144
673a2c9aefe55bc7144a73d0,AMZN,2024-11-14,214.1600,215.9000,210.8800,211.4800,42620309
673a2c9aefe55bc7144a73d1,AMZN,2024-11-13,209.4000,215.0900,209.1400,214.1000,46212943
673a2c9aefe55bc7144a73d2,AMZN,2024-11-12,208.3700,209.5400,206.0100,208.9100,38942918
673a2c9aefe55bc7144a73d3,AMZN,2024-11-11,208.5000,209.6500,205.5900,206.8400,35456012
673a2c9aefe55bc7144a73d4,AMZN,2024-11-08,209.7200,209.9633,207.4400,208.1800,36075846
673a2c9aefe55bc7144a73d5,AMZN,2024-11-07,207.4400,212.2500,207.1900,210.0500,52878383
673a2c9aefe55bc7144a73d6,AMZN,2024-11-06,200.0100,207.5500,199.1400,207.0900,72292167
673a2c9aefe55bc7144a73d7,AMZN,2024-11-05,196.0400,199.8200,195.9900,199.5000,30564784
673a2c9aefe55bc7144a73d8,AMZN,2024-11-04,196.4500,197.3300,194.3101,195.7800,38492062
673a2c9befe55bc7144a73d9,AAPL,2024-11-15,226.4000,226.9200,224.2700,225.0000,47923696
673a2c9befe55bc7144a73da,AAPL,2024-11-14,225.0200,228.8700,225.0000,228.2200,44923941
673a2c9befe55bc7144a73db,AAPL,2024-11-13,224.0100,226.6500,222.7600,225.1200,48566217
673a2c9befe55bc7144a73dc,AAPL,2024-11-12,224.5500,225.5900,223.3550,224.2300,40398299
673a2c9befe55bc7144a73dd,AAPL,2024-11-11,225.0000,225.7000,221.5000,224.2300,42005602
673a2c9befe55bc7144a73de,AAPL,2024-11-08,227.1700,228.6600,226.4050,226.9600,38328824
673a2c9befe55bc7144a73df,AAPL,2024-11-07,224.6250,227.8750,224.5700,227.4800,42137691
673a2c9befe55bc7144a73e0,AAPL,2024-11-06,222.6100,226.0650,221.1900,222.7200,54561121
673a2c9befe55bc7144a73e1,AAPL,2024-11-05,221.7950,223.9500,221.1400,223.4500,28111338
673a2c9befe55bc7144a73e2,AAPL,2024-11-04,220.9900,222.7900,219.7100,222.0100,44944468
673a2c9befe55bc7144a73e3,MSFT,2024-11-15,419.8200,422.8000,413.6400,415.0000,28247644
673a2c9befe55bc7144a73e4,MSFT,2024-11-14,425.0000,428.1700,420.0000,426.8900,30246881
673a2c9befe55bc7144a73e5,MSFT,2024-11-13,421.6400,429.3250,418.2100,425.2000,21502185
673a2c9befe55bc7144a73e6,MSFT,2024-11-12,418.2500,424.4400,417.2000,423.0300,19401204
673a2c9befe55bc7144a73e7,MSFT,2024-11-11,422.5150,424.8100,416.0000,418.0100,24503321
673a2c9befe55bc7144a73e8,MSFT,2024-11-08,425.3200,426.5000,421.7800,422.5400,16891414
673a2c9befe55bc7144a73e9,MSFT,2024-11-07,421.2800,426.8500,419.8800,425.4300,19901782
673a2c9befe55bc7144a73ea,MSFT,2024-11-06,412.4200,420.4500,410.5200,420.1800,26681842
673a2c9befe55bc7144a73eb,MSFT,2024-11-05,408.3700,414.9000,408.0800,411.4600,17626011
673a2c9befe55bc7144a73ec,MSFT,2024-11-04,409.8000,410.4150,405.5713,408.4600,19672286
673a2c9cefe55bc7144a73ed,META,2024-11-15,571.2200,572.5700,551.5000,554.0800,17712864
673a2c9cefe55bc7144a73ee,META,2024-11-14,577.0000,580.7600,573.0100,577.1600,11053743
673a2c9cefe55bc7144a73ef,META,2024-11-13,582.6050,585.6400,575.1700,580.0000,10757583
673a2c9cefe55bc7144a73f0,META,2024-11-12,588.5450,599.6600,580.3800,584.8200,16287724
673a2c9cefe55bc7144a73f1,META,2024-11-11,586.3600,587.0000,576.5100,583.1700,10209051
673a2c9cefe55bc7144a73f2,META,2024-11-08,591.5400,593.1000,584.5200,589.3400,9415699
673a2c9cefe55bc7144a73f3,META,2024-11-07,576.8900,594.7999,575.2100,591.7000,14653708
673a2c9cefe55bc7144a73f4,META,2024-11-06,562.7500,573.0000,555.1679,572.0500,18305429
673a2c9cefe55bc7144a73f5,META,2024-11-05,567.3050,573.4800,566.6700,572.4300,9775379
673a2c9cefe55bc7144a73f6,META,2024-11-04,564.1000,568.6900,557.8900,560.6800,12064601
673a2c9cefe55bc7144a73f7,NVDA,2024-11-15,144.8700,145.2400,140.0800,141.9800,250132869
673a2c9cefe55bc7144a73f8,NVDA,2024-11-14,147.6400,149.0000,145.5500,146.7600,194463301
673a2c9cefe55bc7144a73f9,NVDA,2024-11-13,149.0700,149.3300,145.9000,146.2700,191903267
673a2c9cefe55bc7144a73fa,NVDA,2024-11-12,146.7800,149.6500,146.0100,148.2900,198634738
673a2c9cefe55bc7144a73fb,NVDA,2024-11-11,148.6800,148.8500,143.5700,145.2600,182325620
673a2c9cefe55bc7144a73fc,NVDA,2024-11-08,148.7700,149.7700,146.2600,147.6300,175665830
673a2c9cefe55bc7144a73fd,NVDA,2024-11-07,146.3900,148.9300,146.1700,148.8800,207323303
673a2c9cefe55bc7144a73fe,NVDA,2024-11-06,142.9600,146.4900,141.9600,145.6100,242043945
673a2c9cefe55bc7144a73ff,NVDA,2024-11-05,137.4500,140.3701,137.3300,139.9100,160537373
673a2c9cefe55bc7144a7400,NVDA,2024-11-04,137.2100,138.9600,135.5700,136.0500,187528173
673a2c9defe55bc7144a7401,TSLA,2024-11-15,310.5700,324.6799,309.2200,320.7200,114440286
673a2c9defe55bc7144a7402,TSLA,2024-11-14,327.6900,329.9800,310.3700,311.1800,120726109
673a2c9defe55bc7144a7403,TSLA,2024-11-13,335.8500,344.5999,322.5000,330.2400,125405599
673a2c9defe55bc7144a7404,TSLA,2024-11-12,342.7400,345.8400,323.3100,328.4900,155726016
673a2c9defe55bc7144a7405,TSLA,2024-11-11,346.3000,358.6400,336.0000,350.0000,210521625
673a2c9defe55bc7144a7406,TSLA,2024-11-08,299.1400,328.7100,297.6600,321.2200,204782763
673a2c9defe55bc7144a7407,TSLA,2024-11-07,288.8900,299.7500,285.5200,296.9100,117309232
673a2c9defe55bc7144a7408,TSLA,2024-11-06,284.6700,289.5900,275.6200,288.5300,165228710
673a2c9defe55bc7144a7409,TSLA,2024-11-05,247.3400,255.2799,246.2101,251.4400,69282505
673a2c9defe55bc7144a740a,TSLA,2024-11-04,244.5600,248.9000,238.8800,242.8400,68802354
673a2c9defe55bc7144a740b,INTC,2024-11-15,24.8100,24.8200,24.2300,24.3500,55104875
673a2c9defe55bc7144a740c,INTC,2024-11-14,25.1200,25.6100,24.9346,25.0300,49252121
673a2c9defe55bc7144a740d,INTC,2024-11-13,24.0600,25.1400,24.0200,24.9200,58201972
673a2c9defe55bc7144a740e,INTC,2024-11-12,24.6600,24.9600,23.8900,24.1600,62539733
673a2c9defe55bc7144a740f,INTC,2024-11-11,25.9600,26.2863,24.8300,25.0500,80185321
673a2c9defe55bc7144a7410,INTC,2024-11-08,26.0000,26.4300,25.8300,26.2000,76427983
673a2c9defe55bc7144a7411,INTC,2024-11-07,25.4300,26.3799,25.1900,26.2300,101489302
673a2c9defe55bc7144a7412,INTC,2024-11-06,24.3000,25.1200,24.0500,25.0500,116760537
673a2c9defe55bc7144a7413,INTC,2024-11-05,22.5800,23.5800,22.4000,23.3200,59153326
673a2c9defe55bc7144a7414,INTC,2024-11-04,22.9600,23.0000,22.0000,22.5200,84616300
673a2c9eefe55bc7144a7415,ORCL,2024-11-15,184.5200,185.8000,182.3300,183.7400,8986276
673a2c9eefe55bc7144a7416,ORCL,2024-11-14,188.6600,189.5900,186.7100,187.0500,7804318
673a2c9eefe55bc7144a7417,ORCL,2024-11-13,189.0000,191.7700,188.7895,189.6300,5695426
673a2c9eefe55bc7144a7418,ORCL,2024-11-12,188.5400,190.6100,187.2000,189.5800,6629891
673a2c9eefe55bc7144a7419,ORCL,2024-11-11,191.0500,191.5000,187.8400,189.1300,5973638
673a2c9eefe55bc7144a741a,ORCL,2024-11-08,186.2600,190.1600,186.2600,189.2500,8520419
673a2c9eefe55bc7144a741b,ORCL,2024-11-07,181.0800,186.6700,180.5400,186.3700,7759399
673a2c9eefe55bc7144a741c,ORCL,2024-11-06,178.5200,182.1000,177.4153,181.2400,11084987
673a2c9eefe55bc7144a741d,ORCL,2024-11-05,170.4700,171.8900,170.3200,171.7800,5456754
673a2c9eefe55bc7144a741e,ORCL,2024-11-04,170.3100,170.4800,168.7300,169.5900,4804405
673a2c9eefe55bc7144a741f,ADBE,2024-11-15,520.3000,524.4999,498.8100,503.3700,4612417
673a2c9eefe55bc7144a7420,ADBE,2024-11-14,530.5500,534.6399,523.4600,529.8700,3098800
673a2c9eefe55bc7144a7421,ADBE,2024-11-13,523.7900,539.9200,520.5900,532.5000,3470174
673a2c9eefe55bc7144a7422,ADBE,2024-11-12,504.3900,528.9100,504.2700,526.4200,4125288
673a2c9eefe55bc7144a7423,ADBE,2024-11-11,493.6000,507.7200,493.6000,504.4800,3536599
673a2c9eefe55bc7144a7424,ADBE,2024-11-08,503.8300,505.0000,493.6900,494.6800,2856859
673a2c9eefe55bc7144a7425,ADBE,2024-11-07,510.6550,510.6550,495.3000,500.9200,2640295
673a2c9eefe55bc7144a7426,ADBE,2024-11-06,492.9300,506.2100,492.9300,504.8300,2969855
673a2c9eefe55bc7144a7427,ADBE,2024-11-05,483.0900,486.6590,480.4700,486.4200,1588149
673a2c9eefe55bc7144a7428,ADBE,2024-11-04,479.0300,483.7600,477.3700,481.3500,1955249
673a2c9eefe55bc7144a7429,IBM,2024-11-15,207.4600,208.4900,204.0700,204.9900,3986460
673a2c9eefe55bc7144a742a,IBM,2024-11-14,210.0000,210.4999,206.3500,208.9900,6372853
673a2c9eefe55bc7144a742b,IBM,2024-11-13,209.5000,211.4100,209.0701,210.9200,3247830
673a2c9eefe55bc7144a742c,IBM,2024-11-12,211.9000,213.0300,209.0600,210.8600,2818216
673a2c9eefe55bc7144a742d,IBM,2024-11-11,214.4000,215.4100,213.4800,213.5700,3012987
673a2c9eefe55bc7144a742e,IBM,2024-11-08,214.1600,216.7000,212.7809,213.7200,3201038
673a2c9eefe55bc7144a742f,IBM,2024-11-07,213.6400,214.5199,211.9300,213.6900,3675812
673a2c9eefe55bc7144a7430,IBM,2024-11-06,213.4800,214.3300,210.3700,213.6000,3934386
673a2c9eefe55bc7144a7431,IBM,2024-11-05,206.1700,208.1150,205.5700,207.5700,2441535
673a2c9eefe55bc7144a7432,IBM,2024-11-04,207.6500,207.7000,205.8000,206.3200,2594119
673a2c9fefe55bc7144a7433,CRM,2024-11-15,326.9300,330.2600,324.1800,325.2600,7093003
673a2c9fefe55bc7144a7434,CRM,2024-11-14,342.4400,346.0000,330.8200,331.6500,7630619
673a2c9fefe55bc7144a7435,CRM,2024-11-13,345.5000,348.1906,338.7700,341.7200,6902936
673a2c9fefe55bc7144a7436,CRM,2024-11-12,339.2900,348.8600,338.5100,341.1500,7659675
673a2c9fefe55bc7144a7437,CRM,2024-11-11,325.2500,344.8800,325.2500,341.7300,13954199
673a2c9fefe55bc7144a7438,CRM,2024-11-08,310.0300,322.8100,309.4370,321.9500,8484970
673a2c9fefe55bc7144a7439,CRM,2024-11-07,307.5000,312.1900,306.0001,310.7800,5722636
673a2c9fefe55bc7144a743a,CRM,2024-11-06,305.0000,308.5600,303.0700,306.9000,5874885
673a2c9fefe55bc7144a743b,CRM,2024-11-05,297.4400,298.8100,294.7400,297.4900,4456064
673a2c9fefe55bc7144a743c,CRM,2024-11-04,297.9900,300.1800,292.9200,298.0100,5108329
673a2c9fefe55bc7144a743d,NFLX,2024-11-15,832.0400,832.0400,816.4900,823.9600,3673720
673a2c9fefe55bc7144a743e,NFLX,2024-11-14,833.6700,840.9997,830.0200,837.2600,3038231
673a2c9fefe55bc7144a743f,NFLX,2024-11-13,822.6150,836.9899,820.5368,830.4700,2767772
673a2c9fefe55bc7144a7440,NFLX,2024-11-12,807.5000,820.3697,803.7500,819.5000,2814064
673a2c9fefe55bc7144a7441,NFLX,2024-11-11,795.9000,806.8230,795.5650,805.4400,2399150
673a2c9fefe55bc7144a7442,NFLX,2024-11-08,797.3600,799.0600,788.6500,795.0400,1910626
673a2c9fefe55bc7144a7443,NFLX,2024-11-07,781.3700,798.2200,779.9400,796.5400,3295074
673a2c9fefe55bc7144a7444,NFLX,2024-11-06,771.5000,781.4900,757.3800,780.2100,3690817
673a2c9fefe55bc7144a7445,NFLX,2024-11-05,757.3500,767.5299,756.2700,763.9100,2200645
673a2c9fefe55bc7144a7446,NFLX,2024-11-04,753.1400,762.4800,749.6900,755.5100,1902194
673a2c9fefe55bc7144a7447,QCOM,2024-11-15,163.0000,164.3250,159.6000,160.5000,9737033
673a2c9fefe55bc7144a7448,QCOM,2024-11-14,162.9500,164.9100,161.8700,163.9700,7012644
673a2c9fefe55bc7144a7449,QCOM,2024-11-13,162.7900,162.9400,159.7500,160.4200,7921747
673a2c9fefe55bc7144a744a,QCOM,2024-11-12,167.0500,167.3300,161.8601,163.4100,8483331
673a2c9fefe55bc7144a744b,QCOM,2024-11-11,170.0000,170.7900,166.0900,168.2900,7829485
673a2c9fefe55bc7144a744c,QCOM,2024-11-08,172.0900,173.4900,168.7546,170.9100,10736646
673a2c9fefe55bc7144a744d,QCOM,2024-11-07,180.2650,182.1000,171.6300,172.9100,23586315
673a2c9fefe55bc7144a744e,QCOM,2024-11-06,169.2500,178.4500,168.6700,172.9900,17661921
673a2c9fefe55bc7144a744f,QCOM,2024-11-05,165.0000,167.5900,164.2450,165.9100,5373163
673a2c9fefe55bc7144a7450,QCOM,2024-11-04,165.0600,167.5000,163.6350,165.1800,4949802
